Date,Temp,Feels,Wind,Gust,Rain,Humidity,Cloud,Pressure,Vis,Weather,Month,Weather_Label,Target_Next_Day_Label
2009-04-18,0.5197653266696075,1.4380367890832613,0.24906049336980973,0.2941041915941911,0.53911778185206,0.24429366284457701,-1.0201954201283947,-0.4636223726506385,,Clear,4,0,18.0
2009-04-19,0.37606550106095155,1.2287380808692583,0.3227793636267549,0.44887537163972563,0.7634105422584492,0.8458754094888848,-0.37318895644980254,-0.5840212313890649,,Thundery outbreaks possible,4,18,13.0
2009-04-20,0.44791541386527955,1.1764134038157574,0.13848218798439194,0.2941041915941911,0.05849043812408329,0.472894726569414,-0.43921002417210786,-1.607411530665689,,Partly cloudy,4,13,16.0
2009-04-21,0.3042155882566236,1.1764134038157574,-0.7092848199704778,-0.6603180853532716,0.23472046415767478,0.8458754094888848,-0.23454471423296133,-1.7278103894041155,,Patchy rain possible,4,16,13.0
2009-04-22,0.16051576264796757,1.019439372655255,-0.783003690227423,-0.6603180853532716,0.5551386933096591,0.8699386793546571,-0.16192153973842546,-1.0656166663427704,,Partly cloudy,4,13,13.0
2009-04-23,0.16051576264796757,0.7578159873877514,0.02790388259897415,0.13933301154865663,0.3628877558184685,0.8338437745559987,-0.2939636751830361,-0.7044200901274913,,Partly cloudy,4,13,13.0
2009-04-24,-0.27058371417800037,0.6531666332807498,-0.37754990381422443,-0.09282375851964515,1.4843515578504138,1.399330616401648,0.14837747855640962,-0.7044200901274913,,Partly cloudy,4,13,13.0
2009-04-25,-0.1987338013736724,0.4961926021202475,-0.6355659497135326,-0.47975170863348143,0.5711596047672585,1.1947928225425832,0.2672154004565592,-0.3432235139122121,,Partly cloudy,4,13,8.0
2009-04-26,-0.7016831910039684,0.12991986274574213,-0.8935819956128408,-0.634522888679016,2.1892716619847796,1.567773505462054,0.5312996713457806,0.017973062303067017,,Mist,4,8,8.0
2009-04-27,-0.4861334525909844,0.2868938939062444,-1.0778791712552038,-1.047246035467108,0.6833059849704529,1.2188560924083556,0.3464406817233256,0.07817249167228021,,Mist,4,8,13.0
2009-04-28,-0.0550339757650164,0.600841956227249,-1.0778791712552038,-1.1246316254898752,-0.18182323373990494,0.6894641553613647,-0.3929952767664941,0.1383719210414934,,Partly cloudy,4,13,13.0
2009-04-29,-0.1268838885693444,0.4438679250667467,-0.967300865869786,-0.9182700520958292,0.25074137561527393,1.014318298549291,0.5907186322958553,0.318970209149133,,Partly cloudy,4,13,8.0
2009-04-30,-0.4861334525909844,0.18224453979924288,-1.4464735225399297,-1.356788395558177,0.6833059849704529,1.3632357116029894,0.6039228458403164,0.07817249167228021,,Mist,4,8,13.0
2009-05-01,-0.4861334525909844,0.12991986274574213,-1.4833329576684025,-1.3825835922324328,1.1479124172408302,1.4474571561331926,1.3631651246468277,0.017973062303067017,,Partly cloudy,5,13,13.0
2009-05-02,-0.4861334525909844,0.18224453979924288,-1.4833329576684025,-1.4599691822552,0.42697140164886543,1.3512040766701034,1.0000492521741484,-0.10242579643535936,,Partly cloudy,5,13,8.0
2009-05-03,-1.5638821446559044,-1.3351710947522795,-1.151598041512149,-1.047246035467108,0.8114732766312467,1.8324694739855496,1.2641335230633697,0.07817249167228021,,Mist,5,8,13.0
2009-05-04,-0.9172329294169523,-0.5503009389497678,-0.6355659497135326,-0.634522888679016,-0.27794870248550024,1.026349933482177,-0.14871732619396438,-0.3432235139122121,,Partly cloudy,5,13,13.0
2009-05-05,-0.8453830166126244,-0.288677553682264,-1.6307706981822927,-1.6405355589749901,-0.22988596811270257,0.8338437745559987,0.5775144187513943,-0.28302408454299893,,Partly cloudy,5,13,13.0
